respondent_id,year,Q14_age,Q15_gender,Q16_state,Q17_income,Q1Q2_unaided_Acme_Strawberries,Q1Q2_unaided_Crimson_Crown_Berries,Q1Q2_unaided_Sunrise_Berries,Q1Q2_unaided_Red_Valley_Organics,Q1Q2_unaided_FreshPick_Strawberries,Q1Q2_unaided_Golden_Meadow_Berries,Q1Q2_unaided_Harvest_Hill_Berries,Q3_aided_Acme_Strawberries,Q3_aided_Crimson_Crown_Berries,Q3_aided_Sunrise_Berries,Q3_aided_Red_Valley_Organics,Q3_aided_FreshPick_Strawberries,Q3_aided_Golden_Meadow_Berries,Q3_aided_Harvest_Hill_Berries,Q4_purchased_Acme_Strawberries,Q4_purchased_Crimson_Crown_Berries,Q4_purchased_Sunrise_Berries,Q4_purchased_Red_Valley_Organics,Q4_purchased_FreshPick_Strawberries,Q4_purchased_Golden_Meadow_Berries,Q4_purchased_Harvest_Hill_Berries,Q5_01_quality_overall,Q5_02_freshness,Q5_03_sweetness_flavor,Q5_04_appearance,Q5_05_value_for_price,Q5_06_consistency,Q5_07_availability,Q5_08_sustainability,Q5_09_packaging,Q5_10_trust,Q5_11_shelf_life,Q6_purchase_intent,Q7_category_frequency,Q8_acme_frequency,Q9_last_brand_purchased,Q10_nps,Q11_brand_preference
1,2025,45-54,Male,NC,"$50,000 - $74,999",1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,3,3,4,5,3,3,4,4,3,3,2,3,More than once a week,Rarely - a few times a year,Crimson Crown Berries,6,Crimson Crown Berries
2,2025,25-34,Male,LA,"$50,000 - $74,999",1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,2,3,2,2,4,3,3,2,2,Never / less than once a month,Never,Don't recall,4,Acme Strawberries
3,2025,18-24,Male,NY,"$50,000 - $74,999",0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,2,3,3,3,2,4,3,2,4,2,3,2,Once a week,Never,FreshPick Strawberries,2,FreshPick Strawberries
4,2025,35-44,Male,UT,"$200,000 or more",0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,3,4,3,3,3,2,2,3,4,3,1,3,About once a month,Never,Acme Strawberries,5,Acme Strawberries
5,2025,55-64,Male,FL,"$50,000 - $74,999",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,3,4,3,2,3,3,3,2,3,2,2,2-3 times a month,Never,Don't recall,5,
6,2025,18-24,Female,OR,"$100,000 - $149,999",0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,4,3,4,4,2,3,4,3,4,1,3,3,About once a month,Sometimes - about once a month,Acme Strawberries,6,Crimson Crown Berries
7,2025,45-54,Male,TN,"$200,000 or more",1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,3,1,3,4,4,2,2,3,4,3,2,3,2-3 times a month,Sometimes - about once a month,Acme Strawberries,6,FreshPick Strawberries
8,2025,18-24,Male,TX,"$150,000 - $199,999",1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,4,3,3,3,2,3,3,3,3,2,2,3,Once a week,Very often - weekly or more,Acme Strawberries,5,Acme Strawberries
9,2025,25-34,Female,GA,"$25,000 - $49,999",0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,3,3,4,3,3,3,1,3,3,5,3,3,2-3 times a month,Never,Sunrise Berries,4,Golden Meadow Berries
10,2025,55-64,Male,CA,"$200,000 or more",1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,2,4,4,4,2,4,2,3,5,2,2,3,2-3 times a month,Rarely - a few times a year,Sunrise Berries,4,Sunrise Berries
11,2025,18-24,Male,WI,"Under $25,000",0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,2,3,2,3,2,4,2,3,3,2,3,3,More than once a week,Never,Sunrise Berries,1,Crimson Crown Berries
12,2025,45-54,Female,NY,"Under $25,000",1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,3,4,2,2,3,3,3,3,2,3,3,2-3 times a month,Sometimes - about once a month,Acme Strawberries,4,Acme Strawberries
13,2025,18-24,Male,MO,"$25,000 - $49,999",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,4,3,2,3,2,3,4,2,3,3,3,4,2-3 times a month,Never,Golden Meadow Berries,4,Crimson Crown Berries
14,2025,18-24,Female,SC,"$150,000 - $199,999",0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,2,2,2,3,3,3,3,3,4,3,5,3,Once a week,Never,Red Valley Organics,2,Red Valley Organics
15,2025,55-64,Non-binary / third gender,KY,"$25,000 - $49,999",0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,2,4,3,4,3,3,2,2,3,4,3,3,About once a month,Sometimes - about once a month,Acme Strawberries,5,Acme Strawberries
